MCC,ZIPCODE
3,22134
3,22134
4,92055
4,92055
4,92055
4,92055
7,22134
7,22134
7,22134
7,22134
8,20350
10,20380
10,22134
10,22134
10,22134
10,22134
10,22134
10,64131
10,64131
10,93955
10,22134
10,22134
10,22134
10,22134
10,22134
10,22134
10,22134
10,22134
10,22134
10,22134
10,22134
10,22134
10,22134
10,22134
10,22134
10,22134
10,22134
10,22134
10,22134
10,22134
10,20350
10,20350
10,22134
10,22134
10,22134
10,22134
10,22134
10,22134
10,22134
10,22134
10,22134
10,22134
10,22134
10,22204
10,22134
10,22134
10,22134
10,22134
10,92145
10,92145
11,22214
11,22214
12,22134
12,22134
12,22134
12,22134
12,22134
12,22134
12,22134
12,22134
13,28542
13,28543
13,28542
13,28542
13,28542
13,28542
14,92055
14,92055
14,92055
14,92055
14,92055
14,92055
14,92055
14,92055
14,92055
14,22134
14,92055
14,20755
14,92055
15,92278
15,92277
15,92278
15,92278
15,92278
16,29905
16,29905
16,29905
16,29905
16,29905
16,29905
16,29905
16,29905
16,29905
16,29905
16,29905
16,29905
17,92140
17,92140
17,92140
17,92140
17,92140
17,92140
17,92140
17,92140
17,92140
17,92140
17,92140
17,92140
17,92140
17,92140
18,28533
19,92311
19,92311
19,92311
21,29905
22,28533
22,28533
22,28533
22,28533
23,92124
23,92145
23,92145
23,92145
23,92115
23,92145
24,28545
24,28545
25,92278
26,29904
26,29904
26,29904
26,29904
27,85369
27,85369
27,85369
28,93517
28,93517
29,23459
30,92155
31,92145
32,22134
32,22134
33,96863
34,22134
36,22134
38,92055
38,92055
39,31704
39,31704
40,29905
40,29905
40,29905
40,29905
40,29905
40,29905
40,29905
40,29905
41,92140
41,92140
41,92140
41,92140
41,92140
41,92140
41,92140
41,92140
42,22134
43,22134
44,96310
44,96310
44,96310
44,96310
44,96310
45,96372
45,96372
47,64147
48,28533
50,92278
52,92055
53,20350
54,28542
57,92055
57,92055
60,29905
61,28542
61,28542
61,28542
63,31704
63,31704
63,31704
63,31704
66,31704
66,31704
67,92278
67,92278
68,22134
68,22134
68,22134
68,22134
69,22134
69,22134
70,22134
70,22134
73,31704
74,22134
77,22134
77,22134
77,20350
78,22134
78,22134
78,22134
80,22134
80,22134
82,22134
82,22134
84,22134
84,22134
86,22134
86,22134
87,22134
87,22134
88,92278
90,96863
90,96863
91,96863
91,96863
91,96863
91,96863
92,96373
92,96373
92,96373
92,96602
93,96387
93,96387
94,28542
94,28542
94,28542
95,22134
95,22134
96,28542
96,28542
97,28542
97,28542
98,92055
98,92055
100,76127
100,28542
102,96603
107,28542
107,28542
108,78226
109,60088
109,60088
110,96861
110,96861
110,96861
110,96861
111,23551
111,23551
111,23551
111,23551
111,23551
112,96610
114,92055
115,28542
116,96385
119,862
121,92055
121,92055
121,92055
122,28542
122,28542
122,28542
122,28542
122,28542
122,28542
124,96382
124,96382
124,96382
127,96537
127,96915
128,96863
129,96218
130,96863
130,96863
137,92055
137,92055
137,92055
137,92055
138,28542
138,28542
138,28542
138,28542
139,96603
139,96606
139,96606
139,96603
142,28533
142,28533
142,28533
142,28533
143,92145
143,92145
143,92145
145,96603
145,96373
145,96603
146,96603
148,96603
152,28542
160,28545
165,29904
167,92055
168,92278
169,92055
169,92055
169,92055
174,92055
175,28542
181,96382
182,92055
183,96372
184,92145
185,28542
186,28533
193,92055
193,92055
193,92055
193,92055
193,92055
193,92055
193,92055
198,28542
198,28542
198,28542
198,28542
198,28542
198,28542
198,28542
199,28542
199,28542
199,28542
199,28542
199,28542
225,23691
226,23185
226,23185
233,20390
233,20390
239,31547
268,98315
275,66027
281,20390
282,21788
283,20390
312,9593
313,9645
330,9834
414,92155
425,23551
426,23691
434,23551
434,23551
436,96861
436,96861
439,9626
442,96860
444,23551
449,92155
451,96306
452,23551
454,92155
460,23551
461,92101
462,92135
467,92147
468,9501
470,96601
475,96205
476,96373
516,33621
528,9805
620,92155
640,9564
649,92136
657,96663
710,92155
722,96601
726,96601
728,9501
730,96601
732,9501
734,92155
736,9501
740,32228
742,96601
751,23511
751,96692
752,96623
753,9534
754,92155
755,9554
756,9573
757,9573
758,96667
759,96617
759,96643
761,9501
762,96692
762,96692
763,9578
764,96643
765,92155
766,32226
766,9583
776,92155
778,92155
779,92155
780,92155
782,23551
783,96660
783,96692
784,23551
787,96322
800,20755
800,20755
800,20755
802,20755
802,20755
803,20755
809,23551
810,96857
815,96857
817,30905
817,30905
818,78251
818,78251
819,96857
819,96857
821,28307
825,32511
836,96205
836,96205
842,80011
842,80011
843,20350
843,20350
861,22214
863,96861
864,96546
865,96387
902,11530
902,11530
904,17070
904,17070
908,29905
908,29905
910,76127
910,76127
912,60088
912,60088
914,92140
914,92140
915,92055
922,12189
922,12189
924,87109
924,87109
926,21076
926,21076
928,36116
928,36116
930,2210
930,2210
934,43215
934,43215
936,60018
936,60018
938,21704
938,21704
940,44130
940,44130
942,75081
942,75081
944,80203
944,80293
946,50131
946,50131
948,48084
948,48084
950,1022
950,1022
952,77002
952,77002
956,46216
956,46216
960,33619
960,33619
961,32207
961,32207
962,64153
962,64153
963,48933
963,48911
964,76013
964,76013
965,92518
965,92518
966,91401
966,91401
967,33324
967,33324
968,40202
968,40202
970,30092
970,30092
971,3801
971,3801
972,55111
972,55111
973,29223
973,29223
974,53224
974,53224
976,37214
976,37214
976,37214
977,28217
977,28217
978,70808
978,70808
979,7722
979,7722
980,11530
980,11530
982,73102
982,73102
987,17070
987,17070
988,15222
988,15222
989,85004
989,85012
990,97204
990,97204
992,27609
992,27609
994,23236
994,23236
995,95834
995,95834
996,84115
996,84115
998,78217
998,78217
999,92127
999,92127
1000,92145
10000,20670
100000,28542
1000000,28542
10000000,28542
100000000,28542
1000000000,28542
01A,92055
01B,70114
01C,70114
01D,70114
01E,22134
01E,22134
03A,31704
03A,31704
07A,22134
07A,22134
10A,78219
10A,78219
10B,20373
10B,20373
10C,11234
10C,11234
10D,94519
10E,1434
10F,76544
10F,76544
11A,96863
11B,96603
11W,96373
12A,28545
12B,29904
12W,28533
13A,92055
13B,85369
13W,92145
15A,28542
15A,28542
15A,28542
15B,28542
15B,28542
15B,28542
15B,28542
15B,28542
15C,28542
15C,28542
15D,28542
15D,28542
15D,28542
15E,28542
15E,28542
15E,28542
15F,28542
15F,28542
15F,28542
15G,28542
15G,28542
15H,28542
15H,28542
